date,NL,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-15,0,0,0,0,0,0,0,0,0,-1,0,0,0
2020-02-16,2,1,1,2,1,2,2,1,2,1,2,1,2
2020-02-17,1,3,3,3,1,3,0,0,2,2,1,0,1
2020-02-18,1,3,3,3,0,3,0,0,2,3,0,0,0
2020-02-19,1,2,2,2,0,3,0,0,2,2,0,0,0
2020-02-20,1,3,3,3,0,3,0,0,3,3,1,1,1
2020-02-21,0,2,2,2,0,2,0,-1,1,2,0,0,0
2020-02-22,0,0,0,1,0,0,-1,-1,1,0,1,0,1
2020-02-23,0,1,1,1,0,1,0,-1,1,0,1,0,1
2020-02-24,3,2,2,2,3,1,7,5,2,2,3,3,3
2020-02-25,2,0,0,0,3,0,6,5,0,1,2,2,2
2020-02-26,2,0,0,0,2,0,6,5,1,1,2,2,3
2020-02-27,3,1,1,1,3,1,6,5,1,1,3,3,4
2020-02-28,2,0,0,0,2,0,4,4,1,0,2,2,3
2020-02-29,1,1,1,1,0,1,2,2,1,0,1,0,1
2020-03-01,0,0,0,0,0,0,1,1,0,0,0,-1,1
2020-03-02,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-03,0,0,0,0,0,0,1,1,1,0,0,0,0
2020-03-04,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-03-05,1,0,1,0,1,0,2,2,1,1,1,1,2
2020-03-06,1,1,0,0,1,1,2,1,0,1,0,1,1
2020-03-07,0,0,-1,-1,-1,0,0,1,0,-1,0,0,0
2020-03-08,1,0,1,1,1,0,1,1,1,0,1,1,1
2020-03-09,1,0,1,0,1,0,1,3,1,0,1,1,1
2020-03-10,2,1,2,1,2,2,3,6,2,1,2,2,1
2020-03-11,2,0,1,0,2,0,3,6,1,1,2,2,3
2020-03-12,4,2,2,2,3,2,3,9,3,2,3,3,3
2020-03-13,6,4,5,4,6,5,6,9,7,5,6,8,4
2020-03-14,6,5,5,5,5,5,6,7,6,5,6,6,6
2020-03-15,5,4,5,5,5,5,5,6,6,5,6,5,5
2020-03-16,14,11,14,11,13,12,12,14,15,12,14,17,11
2020-03-17,16,13,16,13,15,15,14,16,18,15,16,19,12
2020-03-18,16,13,16,14,15,15,14,15,18,15,16,18,13
2020-03-19,19,15,19,15,18,17,16,18,21,17,20,22,15
2020-03-20,19,15,18,15,18,17,18,19,20,17,19,21,17
2020-03-21,12,11,12,11,12,12,12,12,13,12,12,13,12
2020-03-22,10,8,9,8,9,9,10,10,11,9,10,10,9
2020-03-23,18,15,18,15,17,17,17,18,20,17,19,21,15
2020-03-24,20,16,20,16,19,18,18,20,22,19,21,23,16
2020-03-25,18,15,18,15,17,17,17,18,20,17,19,21,15
2020-03-26,21,17,21,17,20,19,19,21,23,20,22,24,18
2020-03-27,20,17,19,16,19,18,19,20,21,19,20,22,17
2020-03-28,13,12,13,12,13,13,13,14,15,13,14,14,13
2020-03-29,11,9,10,9,10,10,12,12,12,11,11,11,10
2020-03-30,19,16,19,16,19,18,17,19,21,18,20,23,16
2020-03-31,19,16,19,16,18,17,18,19,21,18,20,23,16
2020-04-01,18,15,18,15,17,17,17,18,20,17,19,21,15
2020-04-02,21,17,21,17,20,19,19,20,23,19,22,25,17
2020-04-03,20,16,19,16,19,18,19,19,21,19,20,22,17
2020-04-04,13,11,12,11,12,12,12,13,14,12,13,14,12
2020-04-05,8,7,8,6,8,7,9,9,9,8,8,9,8
2020-04-06,18,14,18,14,17,15,16,17,20,16,19,21,15
2020-04-07,18,15,18,14,17,16,17,18,20,17,19,21,14
2020-04-08,16,13,16,13,15,14,15,16,18,15,17,19,13
2020-04-09,18,15,18,14,17,16,16,18,20,17,19,22,15
2020-04-10,19,16,18,15,18,18,17,18,20,19,19,21,17
2020-04-11,11,10,10,9,10,10,11,11,12,11,11,12,11
