date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-02-15,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,1,1,NA,2,0,0,0,1,1,0,0,0,1,0,0,0
2020-02-18,1,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-19,0,0,NA,0,0,0,0,-1,0,0,0,0,0,0,0,0
2020-02-20,0,0,NA,0,0,0,0,-1,0,0,0,0,0,0,0,0
2020-02-21,1,1,NA,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-02-22,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,-2,-3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,16,16,0,15,0,0,0,0,0,0,0,0,16,0,0,0
2020-02-25,2,2,NA,1,0,0,0,1,2,0,0,0,1,0,0,0
2020-02-26,3,2,NA,2,0,0,0,2,3,0,0,0,2,0,0,0
2020-02-27,3,3,NA,3,0,0,0,0,4,0,0,0,3,0,0,0
2020-02-28,4,3,NA,4,0,0,0,0,4,0,0,0,4,0,0,0
2020-02-29,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-03,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,1,1,NA,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-03-05,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-06,-1,-1,NA,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0
2020-03-07,-1,-1,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0
2020-03-08,-4,-3,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-03-09,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,1,1,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,1,2,NA,1,0,0,0,1,1,0,0,0,0,0,0,0
2020-03-12,2,2,NA,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-03-13,7,7,NA,2,0,0,0,5,4,0,0,0,9,0,0,0
2020-03-14,7,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,5,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,16,18,NA,11,0,0,0,0,15,0,0,0,18,0,0,0
2020-03-17,17,20,NA,10,0,0,0,0,15,0,0,0,19,0,0,0
2020-03-18,20,22,NA,13,0,0,0,0,18,0,0,0,22,0,0,0
2020-03-19,18,20,NA,11,0,0,0,0,16,0,0,0,20,0,0,0
2020-03-20,20,22,NA,12,0,0,0,0,18,0,0,0,23,0,0,0
2020-03-21,10,11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,7,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,18,20,NA,12,0,0,0,0,16,0,0,0,19,0,0,0
2020-03-24,19,21,NA,12,0,0,0,0,17,0,0,0,21,0,0,0
2020-03-25,19,21,NA,11,0,0,0,0,17,0,0,0,21,0,0,0
2020-03-26,19,22,NA,11,0,0,0,0,18,0,0,0,21,0,0,0
2020-03-27,21,24,NA,12,0,0,0,0,20,0,0,0,23,0,0,0
2020-03-28,10,11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,10,11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,21,23,NA,14,0,0,0,0,19,0,0,0,22,0,0,0
2020-03-31,20,23,NA,14,0,0,0,0,18,0,0,0,22,0,0,0
2020-04-01,20,23,NA,15,0,0,0,0,17,0,0,0,22,0,0,0
2020-04-02,22,24,NA,16,0,0,0,0,19,0,0,0,24,0,0,0
2020-04-03,24,26,NA,18,0,0,0,0,22,0,0,0,27,0,0,0
2020-04-04,12,13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,8,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,18,21,NA,13,0,0,0,0,16,0,0,0,20,0,0,0
2020-04-07,17,20,NA,11,0,0,0,0,16,0,0,0,18,0,0,0
2020-04-08,17,19,NA,10,0,0,0,0,14,0,0,0,18,0,0,0
2020-04-09,17,20,NA,11,0,0,0,0,15,0,0,0,19,0,0,0
2020-04-10,27,29,NA,0,0,0,0,0,0,0,0,0,29,0,0,0
2020-04-11,10,11,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA
